Title	Description	Sentiment	Category
Taylor Swift Fan Dies From Cardiac Arrest Shortly After Fainting During Rio Concert in 109 Degree Weather	Taylor Swift stopped the show at one point and pleaded with stadium staff to provide water to concertgoers.	3	Dead Fan
"Fan Dies at Taylor Swift Concert in Rio Amid Heat Complaints, No Water"	"A 23-year-old Taylor Swift fan died at the singer's Eras Tour concert in Rio de Janeiro Friday night, according to a statement from the show's organizers in Brazil. Both fans and politicians reacted to the news with outrage. While a cause of death for Ana C…"	3	Dead Fan
Taylor Swift Mourns Fan Who Died at Brazil Era's Tour Show	"Taylor Swift posted a typed Instagram story--written in her branded 1989 script--about her devastation over the death of a fan at her Era's Tour show in Brazil on Friday. ""I can't believe I'm writing these words but it is with... Read more..."	3	Dead Fan
Taylor Swift ‘Devastated’ After Fan Reportedly Dies of Cardiac Arrest Before Brazil Concert	"The singer shared a heartbreaking message about the concertgoer, who reportedly passed away before she went on stage in Rio de Janeiro."	3	Dead Fan
"Taylor Swift fan dies before show in Brazil, superstar says"	Taylor Swift said Saturday she was devastated by the death of a fan before her show in Brazil on Friday night.	3	Dead Fan
"Taylor Swift Confirms Death Of Fan At ‘Eras Tour’ Show After Hot, Humid Evening Led To Dehydration For Many"	"The record-setting ‘Eras Tour’ has been a source of joy for millions across the United States and in a few international cities as Taylor Swift has shared her chart-topping music with the world. But, tragedy struck on Friday in Rio de Janeiro, Brazil, when a …"	3	Dead Fan
Taylor Swift ‘devastated’ as fan dies ahead of her Brazil concert: ‘Overwhelmed by grief’	"Taylor Swift said she was “overwhelmed by grief” after a fan died ahead of her “Eras Tour” concert in Brazil Friday night. The “Anti-Hero” hitmaker, 33, revealed the tragedy and mourned her fan’s death after she performed the first of three nights at Rio de J…"	3	Dead Fan
Taylor Swift says she has 'shattered heart' after 23-year-old fan dies at Eras Tour concert in Rio de Janeiro	"While the cause of death has not been announced, media reported that fans were not allowed to take water into the stadium despite soaring temperatures."	3	Dead Fan
Taylor Swift says she ‘overwhelmed by grief’ after fan dies while attending Brazil Eras Tour show	"""I can't believe I'm writing these words but it is with a shattered heart that I say we lost a fan earlier tonight before my show,"" she wrote."	3	Dead Fan
Taylor Swift Seems Back to Herself After Tragic Death of Fan in Rio de Janeiro	"Taylor Swift was back to herself during a Friday concert in Brazil after mourning the death of a fan just one week ago. TS hit the stage to perform in front of a packed crowd in São Paulo last evening -- and she appeared to be in great spirits,…"	2	Dead Fan
Police Investigation 'Underway' After Taylor Swift Fan's Death in Brazil	"Brazilian police are taking next steps after the recent death of a Taylor Swift fan. NBC News reported that officials launched an investigation into Time4Fun, the company responsible for organizing Swift’s Eras Tour stops in Rio de Janeiro. Swift, 33, perform…"	3	Dead Fan
"ET ""Confirms"" That Taylor Swift Has Reached Out To Ana Clara Benevides Machado's Family"	"ET has learned that Taylor Swift’s team has reached out to Ana Clara Benevides Machado’s family following her death. pic.twitter.com/aByJh1czJL — Entertainment Tonight (@etnow) November 24, 2023 ET has confirmed that Taylor Swift's team has reached out to A…"	2	Dead Fan
Rio police investigate Taylor Swift concert organizers after fan's death	Rio police investigate Taylor Swift concert organizers after fan's death	3	Dead Fan
How Climate Change Made Taylor Swift's Brazil Concert So Dangerous	The death of a Taylor Swift fan in the midst of a heat wave in Brazil is another sign that we're not doing enough to adapt to a rapidly changing climate.	3	Dead Fan
Taylor Swift’s Rio Concert Venue Has Admitted They Could Have Done More To Keep People Safe In The Extreme Heat	"Ana Clara Benevides, 23, was laid to rest on Tuesday after Swifties crowd-funded the money needed for the family to fly her body home.View Entire Post ›"	3	Dead Fan
The Organizer For Taylor Swift’s Brazilian ‘The Eras Tour’ Dates Is Being Investigated Following A Fan’s Death	"Getty Image Ana Clara Benevides Machado, 23, died on November 17."	3	Dead Fan
News24 | 'Could have taken alternative measures': Brazilian company admit fault after Taylor Swift fan death	The chief executive of the company organising Taylor Swift's tour dates in Brazil apologised after a fan died in a searing heat wave during the superstar's Rio de Janeiro show.	3	Dead Fan
Taylor Swift Brazil Concert Triggers Police Probe After Fan Dies at Stadium	Police in Brazil have reportedly opened a probe into the organizers of last Friday’s oppressively hot Taylor Swift concert that left one fan dead and the pop star gasping for air. A rep for Rio de Janiero’s Civil Police Department said they…	3	Dead Fan
Taylor Swift stops crowd from paying tribute to late fan Ana; Family denies TS or T4F reached out	"Follow-up to this post. Starting on a better note, Ana Clara Benevide's mother thanked everyone who donated money to pay for the body transportation costs, as you can see in the video below: Taylor Swift fans crowdfunded in order to help Ana Benevides’ family…"	3	Dead Fan
Brazil Authorities Investigate Organizer Of Taylor Swift Concert Following Fan's Death	"Ana Clara Benevides, 23, died after falling ill during Friday's concert in Rio de Janeiro, while the city experienced record temperatures."	3	Dead Fan
"Taylor Swift Concert Organizers Under Investigation After Fan, 23, Dies at Singer's Rio De Janeiro Show: Report"	"Taylor Swift fan Ana Clara Benevides Machado passed away on Friday, November 17, at the singer's Rio de Janeiro, Brazil concert due to record high temperatures."	3	Dead Fan
Brazilian officials investigating company behind Taylor Swift shows in Rio de Janeiro after fan's death	SÃO PAULO — Police in Rio de Janeiro said Wednesday that an investigation has been launched into Time4Fun — the Brazilian company that organized Taylor Swift’s shows in the city — days after a fan died and others reported unbearable conditions after attending…	3	Dead Fan
Brazilian officials investigating company behind Taylor Swift shows in Rio de Janeiro after fan's death	Police in Rio de Janeiro said an investigation has been launched into Time4Fun — the Brazilian company that organized Taylor Swift’s shows in the city — days after a fan died at the “Eras Tour” during an extreme heat wave.	3	Dead Fan
Taylor Swift concert organizer apologizes after Rio fan death	The chief executive of the company organizing Taylor Swift's tour dates in Brazil apologized Thursday after a fan died in a searing heat wave during the pop superstar's Rio de Janeiro show. Organizers have faced criticism after fans said they were forbidden t…	3	Dead Fan
Police in Brazil launch investigation after Taylor Swift fan dies at concert	"“Event organizers will be called to testify, and other steps are underway to investigate the facts,” a rep for the Civil Police Department in Brazil told NBC News."	3	Dead Fan
Brazilian officials investigating company behind Taylor Swift shows in Rio de Janeiro after fan’s death	Police in Rio de Janeiro said Nov. 22 that an investigation has been launched into Time4Fun — the Brazilian company that organized Taylor Swift’s shows in the city — days after a fan died and others reported unbearable conditions after attending the “Eras Tou…	3	Dead Fan
Family of Taylor Swift fan who died at Rio concert attends singer’s third Eras Tour show in São Paolo	"Ana Clara Benevides died ahead of Swift's show on Nov. 17 after going into cardiac arrest amid extreme temperatures in Rio de Janeiro, Brazil."	2	Dead Fan
Swifties Raise Money For Family Of Fan Who Died At Taylor Swift Concert	"Ana Clara Benevides died after attending the singer's show in Rio de Janeiro, Brazil."	1	Dead Fan
Swifties raise money for family of fan who died at Brazil Eras Tour stop	"Taylor Swift fans in Brazil have helped raise money to transport the body of Ana Clara Benevides Machado, who died at Swift’s concert on November 17, from Rio de Janeiro to the Brazilian state of Mato Grosso do Sul. A fan posted a video, reportedly from Benev…"	1	Dead Fan
Extreme heat led to a Taylor Swift fan’s death in Brazil. Could it have been prevented?	"In an era of rising heat waves, experts weigh in on how to plan for concerts and other large events safely."	3	Dead Fan
Taylor Swift gifts VIP experience to family of fan who died at her Brazil concert	"The family of Ana Clara Benevides, a Taylor Swift fan who died at her Rio de Janeiro concert earlier this month, were treated to a VIP experience of the popstar&apos;s Sao Paulo sh"	1	Dead Fan
Death at Taylor Swift concert: How event organizers deal with heat	"After the death of a 23-year-old woman in Brazil, DW looks at how organizers of large events handle extreme heat and supply water."	3	Dead Fan
Mom of Taylor Swift fan who died at Brazil concert gets emotional over Swifties’ help to return daughter’s body after blasting show organizers	"Ana Clara Benevides, 23, died after becoming ill at Swift's Friday concert in Rio."	2	Dead Fan
The Slatest for Nov. 21: Trump’s Lawyers Argued He Might Be Able to Reveal the Names and Addresses of Jurors	"Stories about a fan's death at a Taylor Swift show, the Supreme Court and the Voting Rights Act, the secret to perfect mashed potatoes, and more."	3	Dead Fan
Two fans have died following Taylor Swift's trio of shows in Rio de Janeiro	"Taylor Swift is currently on the South American leg of The Eras Tour. Three consecutive dates at Estádio Nilton Santos in Rio de Janeiro, Brazil have been marred by intense heat and pickpocketing."	3	Dead Fan
A Fan Died at a Taylor Swift Show. Then It All Got Very Confusing.	The heat was blazing. The floor was metal. Was there anything else she could have done?	3	Dead Fan
Taylor Swift fan dies at Rio de Janeiro leg of Eras Tour	23-year-old Ana Clara Benevides died of caridac arrest while attending a Taylor Swift show at Rio's Nilton Santos stadium on November 17. Swift postponed the following night's show amid safety concerns as record heats were recorded in the Brazilian city.	3	Dead Fan
Taylor Swift Debuts Grief-Stricken Ballad Live After Fan’s Death	"TAS2023 Via Getty Images Taylor Swift got back to business on Sunday, resuming her Eras Tour in Rio de Janeiro, Brazil, after a succession of disasters and delays. On Friday night, a Swift fan passed away at a local hospital after falling ill at Nilton Santo…"	3	Dead Fan
Taylor Swift Gets Emotional After Returning to Stage in Brazil Amid Fan’s Death	Taylor Swift returned to the stage in Brazil after a hiatus due to the sizzling heat -- and seemingly paid tribute to a fan who recently died at one of her shows. The pop superstar put on an emotional performance Sunday at Estadio Nilton Santos…	3	Dead Fan
Father of Taylor Swift Fan Who Died at Her Brazil Show Speaks Out	"The father of Ana Clara Benevides Machado, the Taylor Swift fan who tragically died at the singer’s concert in Brazil, is speaking out. The 23-year-old young woman died ahead of the Eras Tour show at the Estadio Nilton Santos last Friday (November 17) in Rio …"	3	Dead Fan
Taylor Swift Performs Grief Ballad “Bigger Than the Whole Sky” Days After Concert Death Of Fan Ana Clara Benevides Machado	"At her Rio de Janeiro concert Sunday night, Taylor Swift performed a deep album cut about grief, “Bigger Than the Whole Sky,” just two days after the tragic death of fan Ana Clara Benevides Machado. The 23-year-old Benevides Machado died Friday after falling …"	3	Dead Fan
Taylor Swift postpones Brazil Eras tour following death of fan	"Taylor Swift began the South American leg of her Eras Tour last weekend in Argentina. The next day, Travis Kelce flew down to see her and Taylor ended up rain-checking that night’s show due to, well, rain. She said on Twitter “I love a rain show but I’m never…"	2	Dead Fan
Taylor Swift Appears to Honor Late Fan With Emotional Surprise Song Choice	"Taylor Swift appeared to pay tribute to late fan Ana Clara Benevides Machado with an emotional song choice on night two in Brazil. At every show on her Eras tour, Swift, 33, performs two surprise songs acoustically and on Sunday, November, 19, Swift opted to …"	1	Dead Fan
Taylor Swift Returns to the Stage With Moving Tribute After Fan Died	"Taylor Swift shared a tearful moment with the crowd at her latest concert. The Grammy winner returned to the stage in Rio de Janeiro on Nov. 19, where she performed ""Bigger Than the Whole Sky"" as..."	2	Dead Fan
Taylor Swift Gives Tearful Performance in Tribute to Deceased Fan Ana Clara Benevides	"Swift delivered an emotional rendition of ""Bigger Than the Whole Sky.""  Taylor Swift Gives Tearful Performance in Tribute to Deceased Fan Ana Clara Benevides Scoop Harrison"	2	Dead Fan
Family of Taylor Swift Fan Who Died After Brazil Concert Calls for Investigation	"“I feel this loss deeply and my heart goes out to her family and friends,” Taylor Swift said in a handwritten statement."	3	Dead Fan
Rain-Soaked Taylor Swift Performs Emotional ‘Bigger Than The Whole Sky’ in Honor of Dead Fan	"Last week was a tough one for Taylor Swift. Dangerously high temperatures in Brazil are thought to be the cause of the tragic death of 23-year-old Ana Clara Benevides Machado, who was tended to by paramedics at an Eras Tour... Read more..."	1	Dead Fan
Taylor Swift Postpones Rio Concert Amid Safety Concerns Following Fan’s Death	"Taylor Swift took to social media on Saturday evening to announce that she was postponing her concert, amid concerns over safety."	3	Dead Fan
"Taylor Swift postpones Brazil show due to heat, day after fan dies during concert"	"Taylor Swift postponed an Eras Tour concert in Rio de Janeiro Saturday after a 23-year-old fan died during her Friday night show, according to a message posted on the singer's Instagram."	3	Dead Fan
"Taylor Swift postpones Brazil concert after fan dies amidst ""extreme temperatures"""	"Taylor Swift has announced that she’s postponing a concert scheduled for tonight in Rio de Janeiro, after a fan died after attending her concert on Friday night in the city. Rio is currently experiencing record heat waves that have generated a heat index (i.e…"	3	Dead Fan
"Taylor Swift postpones Rio show over ""extreme weather"" after fan's death"	"Taylor Swift postponed a concert in Rio de Janeiro, Brazil, after a 23-year-old fan died during the Friday night show of Swift's Eras Tour."	3	Dead Fan
Father of Taylor Swift Fan Pays Tribute After Daughter Died at 'Eras Tour'	"The father of Ana Clara Benevides Machado, the Taylor Swift fan who died before the debut Eras Tour concert in Brazil, has broken his silence on her death. “I lost my only daughter, a happy and intelligent girl,” Weiny Machado told local newspaper Folha de Sã…"	2	Dead Fan
"Taylor Swift postpones second night in Rio, 2 hours before show, following death of fan"	Taylor Swift on Saturday postponed the second night of her Eras Tour in Brazil citing the scorching heat that has stifled most of the South American country in the past few days. Swift’s decision — which was announced approximately two hours before her show w…	3	Dead Fan
Taylor Swift Postpones Saturday Show in Rio In Wake Of Fan Death	"Taylor Swift has postponed her Saturday night concert in Rio de Janeiro because of extreme temperatures in the city. The move comes a day after a fan died at her first Eras Tour show in the city. “The safety and well-being of my fans, fellow performers, and c…"	3	Dead Fan
"Taylor Swift Postpones 2nd Brazil Show Amid Fan Death, Scorching Heat"	"Taylor Swift is postponing her second show in Brazil this weekend after a fan died the day prior and amid scorching temperatures there in the city that she deems too dangerous. The pop star announced the decision Saturday, not long before she was…"	3	Dead Fan
"Swift postpones Rio concerts, 'devastated' by fan's death"	"During a Taylor Swift show in Rio de Janeiro, a fan fell ill in the sweltering heat and later died. The pop star has said she postponed an Eras Tour show due to the extremely high temperature."	3	Dead Fan
"See Taylor Swift Debut ‘Suburban Legends,’ Unearth ‘Stay Beautiful’ at Rio Show"	"Taylor Swift dug out another pair of deep cuts in Rio De Janeiro Friday as the singer performed ""Suburban Legends"" and ""Stay Beautiful."""	2	Eras Tour
Brasil Welcomes Taylor Swift with Projection on Christ the Redeemer	"Rio de Janeiro's mayor said that the city would ""properly honor"" Swift with the projection, and compared her to Michael Jackson. Brasil Welcomes Taylor Swift with Projection on Christ the Redeemer Jo Vito"	1	Eras Tour
Christ the Redeemer welcomes Taylor Swift to Rio as Philly 'punts' her for Eagles-Chiefs game	Taylor Swift fans lit up Brazil's Christ the Redeemer statue Thursday. But the City of Brotherly Love doesn't share the sentiment ahead of Eagles-Chiefs game.	2	Eras Tour
"Taylor Swift Reacts to Being Honored on Brazil's Christ the Redeemer Statue, Credits Her Fans!"	"Taylor Swift is reacting to the warm welcome she received by Brazil this week! The 33-year-old entertainer kicked off her run of shows at Estádio Olímpico Nilton Santos in Rio de Janeiro, Brazil on Friday night (November 17) and she thanked fans for the speci…"	1	Eras Tour
"Taylor Swift Goes to Brazil, Swiftie Says It's Time People Accept She's MJ Level Famous"	"she is actually michael jackson level of famous and yall need to finally accept it https://t.co/ftnaUGlp0N — thanos. (@THANOSNOVA) November 17, 2023 Taylor Swift took her Eras Tour to Brazil.The world's most famous statue of Jesus Christ, the Christ the Red…"	2	Eras Tour
Airline Waived Flight-Change Fees Thanks to Taylor Swift	"Occasionally, an airline will do the right thing, even if it means they lose significant money in the process. The good news is that such a circumstance happened just last…"	1	Eras Tour
Brazil's Christ the Redeemer statue welcomes Taylor Swift with unique display	Taylor Swift and the Eras Tour will receive a special welcome to Rio de Janeiro on Thursday night with a projection on the city's iconic Christ the Redeemer.	1	Eras Tour
Taylor Swift Reacts to Junior Jewels T-Shirt Projection Onto Christ the Redeemer Statue: ‘There’s No Way That’s Real’ | Video	"“That has to be photoshopped,"" the songstress says The post Taylor Swift Reacts to Junior Jewels T-Shirt Projection Onto Christ the Redeemer Statue: ‘There’s No Way That’s Real’ | Video appeared first on TheWrap."	2	Eras Tour
Taylor Swift Honored in Brazil With Projection on Christ the Redeemer Statue: Photo	The Grammy winner is closing out the month with a handful of tour dates in Brazil and the country just greeted Taylor in the best way possible!	1	Eras Tour
Taylor Swift Saved Public Transport And Now She's Fixing Airlines Too	Airlines will usually stop at nothing to squeeze every penny from you when you book to fly with them. But there’s one person who can force their hand and encourage them to scrap change fees for passengers: Ms. Taylor Alison Swift.Read more...	1	Eras Tour
Taylor Swift Played “Is It Over Now?” And Sang About Travis Kelce In Buenos Aires	"Taylor Swift kicked off the South American leg of her Eras Tour this week, and at her first show in Buenos Aires, she played “The Very First Night” and “Labyrinth” live for the first time. That was on Thursday; Friday night’s show was rescheduled for Sunday d…"	2	Eras Tour
Taylor Swift Performs “Slut!” For The First Time And Tells Fans Not To Throw Things Onstage	"It’s been an eventful trip to Argentina for Taylor Swift. Thursday, at the first South American date of her Eras Tour, she played “The Very First Time” from Red (Taylor’s Version) and “Labyrinth” from Midnights live for the first time. Friday, her second Buen…"	2	Eras Tour
Taylor Swift reveals the fan behavior that freaks her out	"During her Buenos Aires concert on Sunday night, Taylor Swift asked fans to stop throwing things on stage, saying ""it really freaks me out."" During the ""Evermore"" part of her Eras Tour set, Swift paused to calmly, but firmly, address the crowd after a present…"	2	Eras Tour
Taylor Swift Asks Audience To Hold The Gifts: “It Really Freaks Me Out When Stuff Gets Thrown On The Stage”	"Taylor Swift likes gifts, just not on stage. During a concert in Buenos Aires, Argentina, Swift briefly interrupted her show when, seated at the piano, she politely asked fans not to throw things on the stage. “Just because communication means having gentle, …"	2	Eras Tour
Why A Major Airline Waived Fees Just For Taylor Swift Fans	"Soon after Taylor Swift postponed her Buenos Aires concert, South America’s largest airline offered Swifties a lifeline."	1	Eras Tour
Taylor Swift Is ‘Never Beating the Sorcery Allegations’ After Perfectly Timed Eras Tour Moment	"Taylor Swift is proving time and time again that she’s the ultimate “Mastermind.” The pop superstar took to Twitter to share a hilarious video from her Eras tour stop in Buenos Aires, Argentina, this weekend, in which she’s seen singing “Labyrinth” off her 20…"	1	Eras Tour
Taylor Swift Adds Two More Summer 2024 London Eras Tour Dates With Paramore	Taylor Swift is giving her UK fans two more chances to get in on the Eras Tour action. The singer announced on Monday (Nov. 13) that she will be adding a pair of gigs in London to her stint at London’s Wembley Arena next summer. Related Taylor Swift Is ‘Never…	2	Eras Tour
Taylor Swift Scolds Concertgoers for Throwing Things on Stage in Buenos Aires: ‘It Really Freaks Me Out’	"Taylor Swift is reminding fans to not throw things onto the stage at her shows. At least one object made its way toward Swift in Buenos Aires, Argentina, Sunday night (Nov. 12) while she was performing at Estadio River Plate for the Eras Tour concert that had…"	2	Eras Tour
Taylor Swift asks fans not to throw things on stage: “It really freaks me out”	Taylor Swift became the latest artist to request that fans don't throw things on to the stage during live shows.	2	Eras Tour
Taylor Swift Surprises Fans With 2 Songs Believed to Be About Harry Styles During 'Eras Tour'	"Taylor Swift‘s Eras Tour Surprise Songs had fans thinking about Harry Styles on Saturday night (November 10) in Buenos Aires, Argentina. The 33-year-old pop titan took the stage at Estadio River Plate for her second performance since resuming the tour earlier…"	2	Eras Tour
"Taylor Swift 'Wasn't Too Happy' About Postponing 'Eras' Tour Stop in Buenos Aires, Travis Kelce Reveals"	"Travis Kelce is revealing Taylor Swift‘s reaction to having to postpone one of her Eras tour shows in Buenos Aires, Argentina. On Friday (November 10), the 33-year-old superstar was forced to postpone her show due to weather. It was rescheduled for that Sunda…"	2	Eras Tour
"Taylor Swift Left Argentina So Quickly, She Was Still Wearing Her 'Eras Tour' Costume!"	Taylor Swift walked off the stage after the final show of The Eras Tour in Argentina and left the country so quickly that she was still wearing her costume from the concert! New photos have emerged showing Taylor still in her Midnights outfit while boarding a…	2	Eras Tour
Taylor Swift asks fans not to throw things on stage	"️| Taylor very kindly asking the crowd to not to throw things on stage  #BuenosAiresTSTheErasTour ""And just because communication means having gentle healthy boundaries - it really freaks me out when stuff gets thrown on the stage. Because if it's on the …"	2	Eras Tour
Campaign fundraisers are hitting high notes at Taylor Swift and Beyoncé concerts	"Congressional candidates are getting creative, and having fun, as they raise cash (Taylor’s Version)."	2	Eras Tour
Watch Taylor Swift Play “The Very First Night” And “Labyrinth” Live For The First Time In Buenos Aires	"Taylor Swift’s Eras Tour has gone worldwide. Tonight, she kicked off the international leg of her tour in Buenos Aires, Argentina at the Estadio Monumental, where fans have been camping out since June, according to Pitchfork. Lucky for them, the pop star gave…"	2	Eras Tour
Taylor Swift Postpones Buenos Aires Concert As “Truly Chaotic” Weather Hits City	"Taylor Swift has postponed tonight’s Eras Tour concert in Buenos Aires due to what she called “truly chaotic” weather, a description that might also apply to the media frenzy with the arrival in Argentina last night of Travis Kelce. The Kansas City Chiefs tig…"	2	Eras Tour
How ‘The Marvels’ Can Benefit From ‘Taylor Swift: The Eras Tour’ Boost	Can a super-team-up between Taylor Swift and The Marvels bring audiences together so both films top the weekend box office charts?	2	Eras Tour
"AMC's Earnings Will Feature Barbie and Oppenheimer. Maybe Taylor Swift, and Beyoncé, Too"	"AMC Entertainment's results, set to be released after tonight's closing bell, will be all about this summer's blockbuster movie phenomenon known as Barbenheimer. AMC stock is down 71% so far this year and fell more than 6% on Tuesday.#amcentertainment #barben…"	2	Eras Tour
"Taylor Swift, Beyonce Headline The List Of Top-Grossing Summer Tours 2023 | Forbes"	"Enthusiastic music fans had a summer filled with A-liners hitting the stage all around the world.  P!ink was the first woman to headline a tour in Wisconsin, Taylor Swift walked her Runway in over 50 shows throughout the United States."	1	Eras Tour
There's one thing Taylor Swift isn't talking about	Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.	2	Eras Tour
Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates	Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›	2	Eras Tour
Taylor Swift Adds 2024 Vancouver Dates To Eras Tour	"Vancouver Swifties will have an extra something to celebrate next holiday season: Taylor Swift has added three dates in the city to the 2024 leg of her Eras Tour. The new dates are Dec. 6, 7 and 8, 2024, at B.C. Place in Vancouver, British Columbia. Gracie Ab…"	2	Eras Tour
What Lina Khan Could Learn About Amazon From Taylor Swift	"Like Swift, Amazon used to look up. The answer to Khan’s senseless lawsuit can be found in this truth."	1	Eras Tour
